"Docente","Componente Curricular","Turma","Horário","Discentes","Média Geral","Desvio Padrão Geral"
"SEBASTIAO LUIZ DE OLIVEIRA","ECT2522 - TÓPICOS ESPECIAIS EM DESENVOLVIMENTO SUSTENTÁVEL","1","26T34 (30/07/2018 - 22/12/2018)","9","9.41","1.51"
"SERGIO QUEIROZ DE MEDEIROS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","4M34 46T12 (30/07/2018 - 22/12/2018)","19","9.39","1.87"
"SERGIO QUEIROZ DE MEDEIROS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","4M56 46T12 (30/07/2018 - 22/12/2018)","33","8.64","3.24"
"SERGIO QUEIROZ DE MEDEIROS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02C","5M34 46T12 (30/07/2018 - 22/12/2018)","10","9.84","0.77"
"SERGIO QUEIROZ DE MEDEIROS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","5M56 46T12 (30/07/2018 - 22/12/2018)","19","8.39","2.69"
"SERGIO RODRIGUEZ PEREZ","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","3","24N12 (30/07/2018 - 15/12/2018)","62","9.71","1.6"
"SERGIO RODRIGUEZ PEREZ","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","4","24N34 (30/07/2018 - 15/12/2018)","13","9.6","1.2"
"SIMONE BATISTA","ECT2301 - CÁLCULO III","1","35T34 (30/07/2018 - 15/12/2018)","105","9.61","1.78"
"SIMONE BATISTA","ECT2301 - CÁLCULO III","3","35T56 (30/07/2018 - 15/12/2018)","113","9.57","1.88"
"TARCIRO NORTARSON CHAVES MENDES","ECT2307 - FÍSICA EXPERIMENTAL I","07A","6M234 (13/08/2018 - 24/11/2018)","24","9.71","1.46"
"TARCIRO NORTARSON CHAVES MENDES","ECT2307 - FÍSICA EXPERIMENTAL I","11A","7M456 (13/08/2018 - 10/11/2018)","14","9.45","2.05"
"TARCIRO NORTARSON CHAVES MENDES","ECT2307 - FÍSICA EXPERIMENTAL I","14A","5M234 (06/08/2018 - 09/11/2018)","8","9.43","1.23"
"TARCIRO NORTARSON CHAVES MENDES","ECT2403 - FÍSICA EXPERIMENTAL II","01A","2T234 (13/08/2018 - 10/11/2018)","24","9.46","1.46"
"TARCIRO NORTARSON CHAVES MENDES","ECT2403 - FÍSICA EXPERIMENTAL II","02A","3T234 (13/08/2018 - 10/11/2018)","12","9.73","2.12"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02A","3M56 25T34 (30/07/2018 - 22/12/2018)","26","9.18","1.97"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02B","4M12 25T34 (30/07/2018 - 22/12/2018)","24","9.05","2.11"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02C","4M34 25T34 (30/07/2018 - 22/12/2018)","26","9.05","2.18"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02D","4M56 25T34 (30/07/2018 - 22/12/2018)","27","9.49","1.66"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02E","5M56 25T34 (30/07/2018 - 22/12/2018)","26","9.69","1.83"
"THIAGO ISAIAS NOBREGA DE LUCENA","ECT2106 - CIÊNCIA, TECNOLOGIA E SOCIEDADE","1","4T12 (30/07/2018 - 15/12/2018)","105","9.48","1.98"
"THIAGO ISAIAS NOBREGA DE LUCENA","ECT2106 - CIÊNCIA, TECNOLOGIA E SOCIEDADE","4","4N12 (30/07/2018 - 15/12/2018)","75","9.57","1.88"
"THIAGO ISAIAS NOBREGA DE LUCENA","ECT2607 - TECNOLOGIAS SOCIAIS","1","3M3456 (30/07/2018 - 15/12/2018)","18","9.77","1.43"
"VERA LUCIA LOPES DE CASTRO","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","1","46T56 (30/07/2018 - 22/12/2018)","82","9.78","1.69"
"VERA LUCIA LOPES DE CASTRO","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","2","35T34 (30/07/2018 - 15/12/2018)","105","9.64","1.73"
"VERA LUCIA LOPES DE CASTRO","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","4","24N12 (30/07/2018 - 15/12/2018)","85","9.63","1.49"
"VERA LUCIA LOPES DE CASTRO","ECT1569 - TÓPICOS EM PRÁTICAS AMBIENTAIS","2","35T12 (30/07/2018 - 22/12/2018)","33","9.8","1.34"
"ZULMARA VIRGINIA DE CARVALHO","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","2","46M56 (30/07/2018 - 22/12/2018)","54","9.29","2.03"
"ZULMARA VIRGINIA DE CARVALHO","ECT1550 - POLÍTICAS DE GESTÃO EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO","2","46M34 (30/07/2018 - 22/12/2018)","33","9.48","1.29"
"ADA LIMA FERREIRA DE SOUSA","ECT1531 - PRÁTICAS DE LEITURA E ESCRITA DE GÊNEROS DA ESFERA PROFISSIONAL","1","35T56 (19/02/2018 - 02/06/2018)","16","9.67","1.35"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","1","4M56 (19/02/2018 - 07/07/2018)","103","9.62","2.21"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","3","4M34 (19/02/2018 - 07/07/2018)","115","9.31","2.08"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","6","4N12 (19/02/2018 - 07/07/2018)","88","9.4","2.12"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02A","24T56 3T34 (19/02/2018 - 08/04/2018), 24T56 (09/04/2018 - 16/06/2018)","24","9.53","1.56"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02B","24T56 5T12 (19/02/2018 - 08/04/2018), 24T56 (09/04/2018 - 16/06/2018)","22","9.1","1.68"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02C","24T56 5T34 (19/02/2018 - 08/04/2018), 24T56 (09/04/2018 - 16/06/2018)","22","8.81","2.3"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02D","24T56 7T12 (19/02/2018 - 08/04/2018), 24T56 (09/04/2018 - 16/06/2018)","15","9.34","2.14"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02E","24T56 7T34 (19/02/2018 - 08/04/2018), 24T56 (09/04/2018 - 16/06/2018)","7","9.16","1.4"
"ALEXSANDRO PEREIRA LIMA","ECT2103 - CÁLCULO I","8","35T56 (19/02/2018 - 07/07/2018)","108","9.42","1.88"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01A","24T34 (19/02/2018 - 25/02/2018), 2M34 24T34 (26/02/2018 - 20/04/2018), 24T34 (21/04/2018 - 09/06/2018)","19","9.25","2.16"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01B","24T34 (19/02/2018 - 25/02/2018), 2M56 24T34 (26/02/2018 - 20/04/2018), 24T34 (21/04/2018 - 09/06/2018)","24","9.18","1.79"
